id,locale_en,RefModel,Command,Type,status_en,,Comment
Standard_2685089,Contact segment,Standard,,caption,final,,<NO_COMMENT>
Standard_2679160,Active,Standard,,caption,final,,<NO_COMMENT>
Standard_5504188,User person,Standard,,title,final,,<NO_COMMENT>
Standard_2727199,My contacts,Standard,,caption,final,,<NO_COMMENT>
Standard_2690892,Lead,Standard,,caption,final,,<NO_COMMENT>
Standard_6964000,Parent segment name,Standard,,caption,final,,US12966
Standard_2702312,Company/BU,Standard,,caption,final,,<NO_COMMENT>
Standard_2731615,Edit,Standard,,caption,final,,<NO_COMMENT>
Standard_2686025,Region,Standard,,caption,final,,<NO_COMMENT>
Standard_2696227,Subordinated,Standard,,caption,final,,<NO_COMMENT>
Standard_2717135,General,Standard,,caption,final,,<NO_COMMENT>
Standard_2684791,Insurance number 1,Standard,,caption,final,,<NO_COMMENT>
Standard_2713662,Business unit detail,Standard,,caption,final,,<NO_COMMENT>
Standard_2682766,Profession,Standard,,caption,final,,<NO_COMMENT>
Standard_5482092,General,Standard,,caption,final,,changed caption Wahrungsifos -- > General
Standard_6959789,Add contact to contact list,Standard,,caption,final,,Created by Wcl Migration
Standard_2759674,Extended,Standard,,caption,final,,<NO_COMMENT>
Standard_2685378,Duty tariff number,Standard,,caption,final,,<NO_COMMENT>
Standard_2713420,Display customer,Standard,,caption,final,,<NO_COMMENT>
Standard_6958858,Display user of this person,Standard,,caption,final,,Created by Wcl Migration
Standard_2680079,Warehouse,Standard,,caption,final,,<NO_COMMENT>
Standard_6958208,Search,Standard,,caption,final,,Created by Wcl Migration
Standard_2691146,Option,Standard,,caption,final,,<NO_COMMENT>
Standard_5503955,Partnership,Standard,,title,final,,<NO_COMMENT>
Standard_2699506,Bus. region Purchase,Standard,,caption,final,,<NO_COMMENT>
Standard_5507512,Person selection,Standard,,title,final,,Person must be chosen
Standard_2759050,Address status,Standard,,caption,final,,<NO_COMMENT>
Standard_2684505,Medium,Standard,,caption,final,,<NO_COMMENT>
Standard_2713466,Typing,Standard,,caption,final,,<NO_COMMENT>
Standard_2690436,Date of birth,Standard,,caption,final,,<NO_COMMENT>
Standard_2727182,Advertisement code,Standard,,caption,final,,<NO_COMMENT>
Standard_2713722,Business unit extension,Standard,,caption,final,,<NO_COMMENT>
Standard_2762047,Object number company,Standard,,caption,final,,Object number mandant
Standard_2688453,First name,Standard,,caption,final,,<NO_COMMENT>
Standard_2688410,Surface,Standard,,caption,final,,<NO_COMMENT>
Standard_6963987,Parent segment,Standard,,caption,final,,US12966
Standard_2688451,User person,Standard,,caption,final,,<NO_COMMENT>
Standard_2713456,Communication,Standard,,caption,final,,<NO_COMMENT>
Standard_2721925,Subordinated,Standard,,caption,final,,<NO_COMMENT>
Standard_2683934,Product group,Standard,,caption,final,,<NO_COMMENT>
Standard_2689927,Correspondence address,Standard,,caption,final,,<NO_COMMENT>
Standard_2759036,Comment company phone,Standard,,caption,final,,<NO_COMMENT>
Standard_2719243,Company eMail,Standard,,caption,final,,Company eMail
Standard_2724287,Owner,Standard,,caption,final,,<NO_COMMENT>
Standard_2713726,Partner relation,Standard,,caption,final,,<NO_COMMENT>
Standard_2759034,Person type designation,Standard,,caption,final,,<NO_COMMENT>
Standard_2759068,Address designation,Standard,,caption,final,,<NO_COMMENT>
Standard_2759031,User name,Standard,,caption,final,,<NO_COMMENT>
Standard_2679496,Customer,Standard,,caption,final,,<NO_COMMENT>
Standard_2679158,Noted for deletion,Standard,,caption,final,,<NO_COMMENT>
Standard_2678830,ChangeCounter,Standard,,caption,final,,<NO_COMMENT>
Standard_2686685,Converted number,Standard,,caption,final,,<NO_COMMENT>
Standard_2706005,Image,Standard,,caption,final,,<NO_COMMENT>
Standard_2692704,Post office box,Standard,,caption,final,,<NO_COMMENT>
Standard_5502678,Current account without filling station,Standard,,caption,final,,flag for currentaccount
Standard_2713481,Address Detail,Standard,,caption,final,,<NO_COMMENT>
Standard_6019799,Free status 1,Standard,,caption,final,,Freier Status 1
Standard_5503967,Partnership type,Standard,,title,final,,<NO_COMMENT>
Standard_2686078,Full name,Standard,,caption,final,,<NO_COMMENT>
Standard_2719244,Internet,Standard,,caption,final,,<NO_COMMENT>
Standard_5730719,Recipient identifier,Standard,,caption,final,,KZ Empfänger
Standard_2718154,Show user,Standard,,caption,final,,<NO_COMMENT>
Standard_2692417,Responsible,Standard,,caption,final,,<NO_COMMENT>
Standard_2719855,General,Standard,,caption,final,,<NO_COMMENT>
Standard_2689929,Company address,Standard,,caption,final,,<NO_COMMENT>
Standard_2685339,Geography,Standard,,caption,final,,<NO_COMMENT>
Standard_2692389,Floor,Standard,,caption,final,,<NO_COMMENT>
Standard_2687926,Category type,Standard,,caption,final,,<NO_COMMENT>
Standard_2705973,Post code / city,Standard,,caption,final,,<NO_COMMENT>
Standard_6959376,Person finder,Standard,,caption,final,,Created by Wcl Migration
Standard_5724923,Certificate,Standard,,caption,final,,R69999
Standard_2683135,Next contact,Standard,,caption,final,,<NO_COMMENT>
Standard_2678821,QU,Standard,,caption,final,,<NO_COMMENT>
Standard_5504011,City - district assignment,Standard,,title,final,,<NO_COMMENT>
Standard_2695156,Benefit,Standard,,caption,final,,<NO_COMMENT>
Standard_2716783,Assigned contacts/companies,Standard,,caption,final,,<NO_COMMENT>
Standard_6958497,Change address owner,Standard,,caption,final,,Created by Wcl Migration
Standard_5730676,EDI,Standard,,caption,final,,EDI
Standard_2683049,Not defined,Standard,,caption,final,,<NO_COMMENT>
Standard_2732663,Please select a person type,Standard,,instruction,final,,<NO_COMMENT>
Standard_2685502,Classification,Standard,,caption,final,,<NO_COMMENT>
Standard_2759329,Person type code,Standard,,caption,final,,<NO_COMMENT>
Standard_2722235,Subordinated geography,Standard,,caption,final,,<NO_COMMENT>
Standard_2759054,Company eMail 1,Standard,,caption,final,,Company eMail 1
Standard_2691219,Anniversary,Standard,,caption,final,,<NO_COMMENT>
Standard_6023567,Old address no.,Standard,,caption,final,,Alte Adressnummer
Standard_6958895,Customer fitting the person,Standard,,caption,final,,Created by Wcl Migration
Standard_5573125,Private phone,Standard,,caption,final,,Telefon P
Standard_2730855,Person type - relation type assignment,Standard,,caption,final,,<NO_COMMENT>
Standard_2678858,Code,Standard,,caption,final,,<NO_COMMENT>
Standard_7006451,Parcel,Standard,,title,translated,,Parcel
Standard_7006514,Parcel Detail,Standard,,title,translated,,Parcel Detail
Standard_7006496,Parcel Certification Assignment,Standard,,title,translated,,Parcel Certification Assignment
Standard_2720525,Assigned geography,Standard,,caption,final,,<NO_COMMENT>
Standard_2691062,Segment,Standard,,caption,final,,<NO_COMMENT>
Standard_2692425,Partnership,Standard,,caption,final,,<NO_COMMENT>
Standard_2726690,Parent company,Standard,,caption,final,,<NO_COMMENT>
Standard_2759335,Organisation function code,Standard,,caption,final,,<NO_COMMENT>
Standard_2686149,Reverse rel. type,Standard,,caption,final,,<NO_COMMENT>
Standard_2684603,Internal,Standard,,caption,final,,<NO_COMMENT>
Standard_6964007,Company profile segment,Standard,,caption,final,,US12966
Standard_6959530,Create login for contact,Standard,,caption,final,,Created by Wcl Migration
Standard_2713444,Completed,Standard,,caption,final,,Completed
Standard_2719249,Private phone ,Standard,,caption,final,,<NO_COMMENT>
Standard_2689930,Home address,Standard,,caption,final,,<NO_COMMENT>
Standard_2696090,Organisation unit,Standard,,caption,final,,<NO_COMMENT>
Standard_2713424,Employer,Standard,,caption,final,,<NO_COMMENT>
Standard_2695157,Address owner,Standard,,caption,final,,<NO_COMMENT>
Standard_5503966,Partner,Standard,,title,final,,<NO_COMMENT>
Standard_2680091,Employees,Standard,,caption,final,,<NO_COMMENT>
Standard_2678853,Comment,Standard,,caption,final,,<NO_COMMENT>
Standard_2687687,URL,Standard,,caption,final,,<NO_COMMENT>
Standard_2759027,Person status,Standard,,caption,final,,<NO_COMMENT>
Standard_2710097,QU,Standard,,caption,final,,<NO_COMMENT>
Standard_2680887,Copy,Standard,,caption,final,,<NO_COMMENT>
Standard_2682768,Phone number,Standard,,caption,final,,<NO_COMMENT>
Standard_2681182,Ready for reorganization,Standard,,caption,final,,<NO_COMMENT>
Standard_2732011,Fast change,Standard,,caption,final,,<NO_COMMENT>
Standard_2685098,Parent,Standard,,caption,final,,<NO_COMMENT>
Standard_2766123,Consolidated,Standard,,caption,final,,consolidated
Standard_2713447,Main contact,Standard,,caption,final,,<NO_COMMENT>
Standard_5583513,Person in charge,Standard,,caption,final,,Zuständige Person
Standard_6959220,Check for double entries,Standard,,caption,final,,Created by Wcl Migration
Standard_2695152,Product rayon,Standard,,caption,final,,<NO_COMMENT>
Standard_5504243,Region,Standard,,title,final,,<NO_COMMENT>
Standard_6996883,No,Standard,,caption,final,,<NO_COMMENT>
Standard_6996884,Manufacturer address,Standard,,caption,final,,<NO_COMMENT>
Standard_6996882,Yes,Standard,,caption,final,,<NO_COMMENT>
