id,locale_fr,RefModel,Command,Type,status_fr,Comment
Standard_2688254,Filiale,Standard,,caption,final,<NO_COMMENT>
Standard_2682069,Critère de recherche,Standard,,caption,final,<NO_COMMENT>
Standard_5837317,Restriction 3,Standard,,caption,final,Restriktion 3
Standard_2711129,État principal,Standard,,caption,final,<NO_COMMENT>
Standard_6958207,Copier,Standard,,caption,final,Created by Wcl Migration
Standard_2693529,UDC Achat,Standard,,caption,final,<NO_COMMENT>
Standard_6959382,Afficher le fournisseur de cette personn,Standard,,caption,final,Created by Wcl Migration
Standard_5504015,Relation personne,Standard,,title,final,<NO_COMMENT>
Standard_6964040,Définition données de profil,Standard,,title,final,Profile Data Definition
Standard_2699001,Entreprise/UC encadrée,Standard,,caption,final,<NO_COMMENT>
Standard_2725871,Type,Standard,,caption,final,<NO_COMMENT>
Standard_2685089,Segment de contact,Standard,,caption,final,<NO_COMMENT>
Standard_2679160,Actif,Standard,,caption,final,<NO_COMMENT>
Standard_5504188,Attribution utilisateur - personne,Standard,,title,final,<NO_COMMENT>
Standard_2727199,Mes contacts,Standard,,caption,final,<NO_COMMENT>
Standard_2690892,Prospect,Standard,,caption,final,<NO_COMMENT>
Standard_6964000,Nom du segment parent,Standard,,caption,final,US12966
Standard_2702312,Entreprise/UC,Standard,,caption,final,<NO_COMMENT>
Standard_2731615,Traiter,Standard,,caption,final,<NO_COMMENT>
Standard_2686025,Région,Standard,,caption,final,<NO_COMMENT>
Standard_2696227,Subordonné,Standard,,caption,final,<NO_COMMENT>
Standard_2717135,Général,Standard,,caption,final,<NO_COMMENT>
Standard_2684791,N° d'assurance 1,Standard,,caption,final,<NO_COMMENT>
Standard_2713662,Détail unité commerciale,Standard,,caption,final,<NO_COMMENT>
Standard_2682766,Profession,Standard,,caption,final,<NO_COMMENT>
Standard_5482092,Général,Standard,,caption,final,changed caption Wahrungsifos -- > General
Standard_6959789,Ajouter un contact à la liste de mes relations,Standard,,caption,final,Created by Wcl Migration
Standard_2759674,Avancé,Standard,,caption,final,<NO_COMMENT>
Standard_2685378,N° du tarif douanier,Standard,,caption,final,<NO_COMMENT>
Standard_2713420,Afficher client,Standard,,caption,final,<NO_COMMENT>
Standard_6958858,Afficher l'utilisateur correspondant,Standard,,caption,final,Created by Wcl Migration
Standard_2680079,Lieu de stock,Standard,,caption,final,<NO_COMMENT>
Standard_6958208,Rechercher,Standard,,caption,final,Created by Wcl Migration
Standard_2691146,Option,Standard,,caption,final,<NO_COMMENT>
Standard_5503955,Partenariat,Standard,,title,final,<NO_COMMENT>
Standard_2699506,Région d'act. Achat,Standard,,caption,final,<NO_COMMENT>
Standard_5507512,Sélection personne,Standard,,title,final,Person must be chosen
Standard_2759050,État d'adresse,Standard,,caption,final,<NO_COMMENT>
Standard_2684505,Moyen,Standard,,caption,final,<NO_COMMENT>
Standard_2713466,Typification,Standard,,caption,final,<NO_COMMENT>
Standard_2690436,Date de naissance,Standard,,caption,final,<NO_COMMENT>
Standard_2727182,Code de publicité,Standard,,caption,final,<NO_COMMENT>
Standard_2713722,Complément unité commerciale,Standard,,caption,final,<NO_COMMENT>
Standard_2762047,Numéro d'objet mandant,Standard,,caption,final,Object number mandant
Standard_2688453,Prénom,Standard,,caption,final,<NO_COMMENT>
Standard_2688410,Surface,Standard,,caption,final,<NO_COMMENT>
Standard_6963987,Segment parent,Standard,,caption,final,US12966
Standard_2688451,Utilisateur/personne,Standard,,caption,final,<NO_COMMENT>
Standard_2713456,Communication,Standard,,caption,final,<NO_COMMENT>
Standard_2721925,Subordonnés,Standard,,caption,final,<NO_COMMENT>
Standard_2683934,Groupe de produit,Standard,,caption,final,<NO_COMMENT>
Standard_2689927,Adresse de correspondance,Standard,,caption,final,<NO_COMMENT>
Standard_2759036,Commentaire tél. entreprise,Standard,,caption,final,<NO_COMMENT>
Standard_2719243,Email d'entreprise,Standard,,caption,final,Company eMail
Standard_2724287,Propriétaire,Standard,,caption,final,<NO_COMMENT>
Standard_2713726,Relations partenaires,Standard,,caption,final,<NO_COMMENT>
Standard_2759034,Désignation genre de personne,Standard,,caption,final,<NO_COMMENT>
Standard_2759068,Désignation d'adresse,Standard,,caption,final,<NO_COMMENT>
Standard_2759031,Nom d'utilisateur,Standard,,caption,final,<NO_COMMENT>
Standard_2679496,Client,Standard,,caption,final,<NO_COMMENT>
Standard_2679158,Marqué à supprimer,Standard,,caption,final,<NO_COMMENT>
Standard_2678830,ChangeCounter,Standard,,caption,final,<NO_COMMENT>
Standard_2686685,Numéro converti,Standard,,caption,final,<NO_COMMENT>
Standard_2706005,Image,Standard,,caption,final,<NO_COMMENT>
Standard_2692704,Boîte postale,Standard,,caption,final,<NO_COMMENT>
Standard_5502678,Compte courant sans station-service,Standard,,caption,final,flag for currentaccount
Standard_2713481,Détail adresse,Standard,,caption,final,<NO_COMMENT>
Standard_6019799,État libre 1,Standard,,caption,final,Freier Status 1
Standard_5503967,Genre de partenariat,Standard,,title,final,<NO_COMMENT>
Standard_2686078,Nom complet,Standard,,caption,final,<NO_COMMENT>
Standard_2719244,Internet,Standard,,caption,final,<NO_COMMENT>
Standard_5730719,Indicateur destinataire,Standard,,caption,final,KZ Empfänger
Standard_2718154,Afficher utilisateur,Standard,,caption,final,<NO_COMMENT>
Standard_2692417,Conseiller,Standard,,caption,final,<NO_COMMENT>
Standard_2719855,Général,Standard,,caption,final,<NO_COMMENT>
Standard_2689929,Adresse commerciale,Standard,,caption,final,<NO_COMMENT>
Standard_2685339,Géographie,Standard,,caption,final,<NO_COMMENT>
Standard_2692389,Étage,Standard,,caption,final,<NO_COMMENT>
Standard_2687926,Genre de catégorie,Standard,,caption,final,<NO_COMMENT>
Standard_2705973,CP / Lieu,Standard,,caption,final,<NO_COMMENT>
Standard_6959376,Trouver personne,Standard,,caption,final,Created by Wcl Migration
Standard_5724923,Certificat,Standard,,caption,final,R69999
Standard_2683135,Prochain contact,Standard,,caption,final,<NO_COMMENT>
Standard_2678821,UQ,Standard,,caption,final,<NO_COMMENT>
Standard_5504011,Attribution lieu - district,Standard,,title,final,<NO_COMMENT>
Standard_2695156,Bénéfice,Standard,,caption,final,<NO_COMMENT>
Standard_2716783,Contacts/entreprises affecté(e)s,Standard,,caption,final,<NO_COMMENT>
Standard_6958497,Changer le propriétaire d'adresse,Standard,,caption,final,Created by Wcl Migration
Standard_5730676,EDI,Standard,,caption,final,EDI
Standard_2683049,Non défini,Standard,,caption,final,<NO_COMMENT>
Standard_2732663,Veuillez choisir un genre de personne,Standard,,instruction,final,<NO_COMMENT>
Standard_2685502,Classification,Standard,,caption,final,<NO_COMMENT>
Standard_2759329,Code de genre de personne,Standard,,caption,final,<NO_COMMENT>
Standard_2722235,Géographie subordonnée,Standard,,caption,final,<NO_COMMENT>
Standard_2759054,eMail entreprise 1,Standard,,caption,final,Company eMail 1
Standard_2691219,Anniversaire,Standard,,caption,final,<NO_COMMENT>
Standard_6023567,Ancien numéro d'adresse,Standard,,caption,final,Alte Adressnummer
Standard_6958895,Client correspondant à la personne,Standard,,caption,final,Created by Wcl Migration
Standard_5573125,Téléphone privé,Standard,,caption,final,Telefon P
Standard_2730855,Attr. genre de personne - genre de relation,Standard,,caption,final,<NO_COMMENT>
Standard_2678858,Code,Standard,,caption,final,<NO_COMMENT>
Standard_7006451,Parcelle,Standard,,title,final,Parcel
Standard_7006514,Détail parcelle,Standard,,title,final,Parcel Detail
Standard_7006496,Attribution parcelle-certificat,Standard,,title,final,Parcel Certification Assignment
Standard_2720525,Géographie attribuée,Standard,,caption,final,<NO_COMMENT>
Standard_2691062,Segment,Standard,,caption,final,<NO_COMMENT>
Standard_2692425,Partenariat,Standard,,caption,final,<NO_COMMENT>
Standard_2726690,Société de niveau supérieur,Standard,,caption,final,<NO_COMMENT>
Standard_2759335,Code de fonction d'organisation,Standard,,caption,final,<NO_COMMENT>
Standard_2686149,Genre de relation inverse,Standard,,caption,final,<NO_COMMENT>
Standard_2684603,Interne,Standard,,caption,final,<NO_COMMENT>
Standard_6964007,Profil d'entreprise segment,Standard,,caption,final,US12966
Standard_6959530,Créer login pour contact,Standard,,caption,final,Created by Wcl Migration
Standard_2713444,Clôturé,Standard,,caption,final,Completed
Standard_2719249,Téléphone privé,Standard,,caption,final,<NO_COMMENT>
Standard_2689930,Adresse privée,Standard,,caption,final,<NO_COMMENT>
Standard_2696090,Unité d'organisation,Standard,,caption,final,<NO_COMMENT>
Standard_2713424,Employeur,Standard,,caption,final,<NO_COMMENT>
Standard_2695157,Propriét. d'adresse,Standard,,caption,final,<NO_COMMENT>
Standard_5503966,Partenaire,Standard,,title,final,<NO_COMMENT>
Standard_2680091,Employé,Standard,,caption,final,<NO_COMMENT>
Standard_2678853,Commentaire,Standard,,caption,final,<NO_COMMENT>
Standard_2687687,URL,Standard,,caption,final,<NO_COMMENT>
Standard_2759027,État personne,Standard,,caption,final,<NO_COMMENT>
Standard_2710097,UQ,Standard,,caption,final,<NO_COMMENT>
Standard_2680887,Copier,Standard,,caption,final,<NO_COMMENT>
Standard_2682768,Numéro de téléphone,Standard,,caption,final,<NO_COMMENT>
Standard_2681182,Prêt pour réorganisation,Standard,,caption,final,<NO_COMMENT>
Standard_2732011,Modification rapide,Standard,,caption,final,<NO_COMMENT>
Standard_2685098,De niveau supérieur,Standard,,caption,final,<NO_COMMENT>
Standard_2766123,Consolidé,Standard,,caption,final,consolidated
Standard_2713447,Contact principal,Standard,,caption,final,<NO_COMMENT>
Standard_5583513,Personne responsable,Standard,,caption,final,Zuständige Person
Standard_6959220,Contrôle des doublons,Standard,,caption,final,Created by Wcl Migration
Standard_2695152,Rayon de produits,Standard,,caption,final,<NO_COMMENT>
Standard_5504243,Région,Standard,,title,final,<NO_COMMENT>
Standard_6996883,Non,Standard,,caption,final,<NO_COMMENT>
Standard_6996884,Adresse du fabricant,Standard,,caption,final,<NO_COMMENT>
Standard_6996882,Oui,Standard,,caption,final,<NO_COMMENT>
